I do declare,
Hey,
I must say,
I cannot tell a lie,
Alas,
My my,
Good heavens,
jumping jiminy,
holey moley,
creeping critters,
farting flamingos,
lusty lizards,
great scott,
anal anagrams,
beautiful bananas,
cunty custards,
dirty doohickeys,
eager elephants,
ginormous geezers,
hairy harries,
implying imps,
jealous jollies,
kinky kelvins,
monotonous mammoths,
nasty nostrils,
omenous oliphants,
prepostrous pantaloons,
quaint quakers,
rusty ramblers,
sadistic saucepans,
tyrannical titaloons,
urinating unicorns,
villainous vibraphones,
wailing wombats,
xenophobix xylophones,
yummy yams,
zealous zealots,
